Azienda,Conosciuti a / Fonte,Contacting,Email,Sitoweb,Indirizzo,cap,città,provincia,regione,contatto,Telefono,P.Iva,CODICE FISCALE,CODICE UNIVOCO,Annotazioni,shop on line,Closing,Presentazione,Ultimo contatto,Duplicato
Azienda Agricola Fabio Ferracane,,,info@fabioferracane.it,fabioferracane.it/,Contrada Granatello Ss115 Km 17,91025,Marsala,Trapani,Sicilia,Fabio Ferracane,3402437177,,,,"È su vineis, mettere su stappando",,,,1/19/2025,
Dell'Aera Vigneti E Cantina,FIVI,,info@dellaeravini.it,dellaeravini.it,"Contrada Grandine, S.N.C.",88050,Soveria Simeri,Catanzaro,Calabria,,3292021807,,,,,,,,12/6/2024,
Masseria Del Feudo,,,info@masseriadelfeudo.it,masseriadelfeudo.it/vini/,Contrada Grottarossa S.C.,93100,Caltanissetta,Caltanissetta,Sicilia,,0934830885,,,,,,,,12/6/2024,
Passopisciaro,,,passopisciaro@vinifranchetti.com,vinifranchetti.com/it/passopisciaro,Contrada Guardiola,95012,CASTIGLIONE DI SICILIA,Catania,Sicilia,,0942395449,,,,,,,,,
Cantina Il Colle Tinto,FIVI,,mmaco@tutanota.com,ilcolletinto.com,"Contrada Iannaricciola, 27",86010,Castropignano,Campobasso,Molise,Marcello Macoretta,3357658942,,,,tintilia del molise vigneto autoctono ok fatta call avuro listino trovato accordo vino arrivato dopo ferragosto,,,,7/31/2024,
Garro Antonio,,,aziendagarro@gmail.com,AD,"Contrada Incoronata, 3",83053,Sant’Andrea di Conza,Avellino,Campania,,3478566993,,,,,,,,1/20/2025,
Limonio Azienda ,,,info@limonio.com,casalimonio.it/,Contrada Ingastona,90047,Partinico,Palermo,Sicilia,,0918907044,,,,,no,,,1/18/2025,
Cantina Giara ,,,info@cantinagiara.it,cantinagiara.it/,Contrada Jazzo Di Stefano,70010,Adelfia,Bari,Puglia,,3384039570,,,,vini naturali,,,,1/20/2025,
Monserrato 1973,FIVI,,info@monserrato1973.it,monserrato1973.it,"Contrada La Francesca, S.N.C.",82100,Benevento,Benevento,Campania,Lucio Murena,3384968620,,,,rimasti indietro. Collaboriamo,,,,12/5/2024,
Tenuta Lagala,,,info@lagala.it,lagala.itcontatti,Contrada La Maddalena,85029,Venosa,Potenza,Basilicata,,97232735,,,,hanno ristorante e wine bar camere anche olio diversi premi per l'aglianico,,,,12/15/2024,
Vigneti Vallorani,FIVI,,info@vignetivallorani.com,vignetivallorani.com/,"Contrada La Rocca, 28",63079,Colli del Tronto,Ascoli-Piceno,Marche,,393534195388,,,,si visite,,,,12/4/2024,
Tiberio,,,info@tiberio.it,tiberio.it,"Contrada La Vota, 3",65020,Cugnoli,Pescara,Abruzzo,, 0858576744,,,,,,,,,
Le Cerquette,FIVI,,info@lecerquette.it,lecerquette.it,"Contrada Lanetto, S.C.",00035,Olevano Romano,Roma,Lazio,Andrea Traquilli,69562057,,,,,,,,12/11/2024,
Tenuta Le Querce,,,info@tenutalequerce.it,tenutalequerce.eu,Contrada Le Quercie,85022,Barile,Potenza,Basilicata,,0971 470709,,,,,,,,12/15/2024,
Statti,,,info@statti.com,statti.com,Contrada Lenti,88046,Lamezia Terme,Catanzaro,Calabria,,0968456138,,,,"buono per vineis, acquistiamo da tomassucci",,,,12/4/2024,
Ramaddini Vini,,,info@ramaddini.com,ramaddini.com/,Contrada Lettiera,96018,Marzamemi,Siracusa,Sicilia,,9311847100,,,,si experience certificwti bio - vignaioli indipendenti ok marco ha risposto alla mail 20 gennaio vuole info chiamato,si,,,1/19/2025,
Azienda Agricola Domenico Pulcino-Torre Dei Chiusi,,,dpulcino@libero.it,torredeichiusi.it/,Contrada Limiti,82030,Torrecuso,benevento,Campania,,3396161321,,,,,,,,12/5/2024,
Vini Caprigliano  ,,,caprigliano@libero.it,caprigliano.com,"Contrada Madonna Delle Grazie, 1",01030,Corchiano,Viterbo,Lazio,,761575008,,,,hanno una vineria gastronomica,,,,12/4/2024,
Az Olivitivinicola ”Di Giulia”,FIVI,,giulia.fiorentini.85@gmail.com,digiulia.it,"Contrada Manciano,13",60034,Cupramontana,Ancona,Marche,,3287311267,,,,,,,,12/11/2024,
Cantina Vivera,,,visit@vivera.it,vivera.it/,Contrada Martinella S.N.C,95015,Linguaglossa,Catania,Sicilia,,3452216423,,,,si visite,si,,,1/17/2025,
Tenuta Patruno Perniola,,,iofacciovino@gmail.com,tenutapatrunoperniola.it,Contrada Marzagaglia 2603,70023,Gioia del Colle,Bari,Puglia,,3383940830,,,,,,,,12/15/2024,
Cantina Masicei,FIVI,,cosmo.rombola@gmail.com,cantinamasicei.it,"Contrada Masicei, S.N.C.",89862,Brattirò di Drapia,Vibo-Valentia,Calabria,,3334641662,,,,,,,,12/6/2024,
Società Agricola Domodimonti,,Roberto,info@domodimonti.com,domodimonti.com,Contrada Menocchia 212/A,63062,Montefiore dell'Aso,Ascoli-Piceno,Marche,Paride Gacosi,3282140763,,,,,,,,,
Villa Imperium,,,info@villaimperium.it,villaimperium.it/,"Contrada Messieri, 10",63065,San Savino di Ripatransone,Ascoli-Piceno,Marche,,73590495,,,,si visite,,,,12/6/2024,
Abbia Nòva,,,abbianova@gmail.com,abbianova.it,Contrada Mignano,03010,Piglio,Frosinone,Lazio,,ND,,,,Offrono visite guidate su prenotazione,,,,,
Barone G.R. Macrì,FIVI,,info@baronemacri.it,baronemacri.it,"Contrada Modi, 1",89040,Gerace,Reggio-Calabria,Calabria,,964356497,,,,"Belle etichette, abbiamo poca calabria nel catalogo e loro hanno anche un agriturismo. Buono per stapp e vineis",,,,12/6/2024,
Castello Monaci,,,info@castellomonaci.com,castellomonaci.com/,Contrada Monaci,72026,San Pancrazio Salentino,Brindisi,Puglia,,3459340280,,,,"Primitivo, Negramaro e Malvasia Nera di Lecce organizzano grandi eventi matrimonio etc su sito no shop marchio :feudo monaci",,,,2/5/2025,
Claudio Cipressi,,,info@claudiocipressi.it,viniclaudiocipressi.it ,Contrada Montagna 11/B,86030,San Felice del Molise,Campobasso,Molise,,3351244859,,,,"Scritto Ale, rifarsi vivi",,,,,
Andrea Giorgetti,,,info@andreagiorgetti.it,andreagiorgetti.it/,"Contrada Monte Priori, 3",62018,Potenza Picena,Macerata,Marche,,3351401942,,,,,,,,12/6/2024,
Masseria Capoforte ,,,info@capoforte.it,capoforte.it,Contrada Morrone Palombara,74122,Taranto,Taranto,Puglia,,3461812119,,,,da elenco rob,,,,12/14/2024,
Ausonia,FIVI,,info@ausoniavini.it,ausoniawines.com,Contrada Nocella S.N.C.,64032,Atri,Teramo,Abruzzo,,3402329860,,,,si visite prenotazione da modulo,,,,2/1/2025,
Azienda Agricola Steiger-Kalena ,,,info@steiger-kalena.com,steiger-kalena.comcontatti,"Contrada Olivoli, S.N.C.",86043,Casacalenda,Campobasso,Molise,,08741919246,,,,,,,,1/11/2025,
Orneta,Paestum Wine Fest,,info@orneta.it,orneta.it/,"Contrada Orneta, 3",83031,Ariano Irpino,Avellino,Campania,Dott.ssa Giada Pannese,3490761706,,,,,,,,12/5/2024,
Cantine Lulli 1905 ,,,info@cantinelulli1905.it,cantinelulli1905.it/,"Contrada Paiolana, 2",04010,Cori,Latina,Lazio,,69678025,,,,invoato messaggio su sito,,,,12/11/2024,
Azienda Vinicola Ceratti Pasquale,FIVI,,viniceratti@gmail.com,ceratti.it,"Contrada Palazzi, S.N.C.",89032,Bianco,Reggio-Calabria,Calabria,,3201173275,,,,,,,,12/6/2024,
Tenuta Talamonti,,,info@tenutatalamonti.it,tenutatalamonti.it/,Contrada Palazzo,65014,Loreto Aprutino,Pescara,Abruzzo,,085.82.89.039,,,,,,,,1/20/2025,
Jorche Antica Masseria ,,,jorchewines@jorche.it,jorchewinery.com,Contrada Palermo,74020,Torricella,Taranto,Puglia,,0999573232,,,,ha ricevuto la mail a dicembre ha chiamato in ufficio 30 genn risentita Maria 3792261376 mandare presentazioni,,,,12/14/2024,
Azienda Agricola Terracalo Vico,,,aziendagricola@terracalo.it,terracalo.it,"Contrada Papacaniello, 18/19",74028,Sava,Taranto,Puglia,,3208903470,,,,reinoltrare mail tornata indietro - si shop etichette carine primitivo negroamaro e fiano del salento ...un po cari,,,,2/3/2025,
Calitro,,,info@vigneticalitro.it,vigneticalitro.it/,"Contrada Papacaniello, 18/19",74028,Sava,Taranto,Puglia,,0999721127,,,,bellissime le bottiglie di olio - si shop - un negroamaro 33 euro...,,,,2/3/2025,
Mastrangelo – Tenimenti Del Grifone,,,info@vinimastrangelo.com,vinimastrangelo.it/,"Contrada Passo Cardone, 1",65014,Loreto Aprutino,Pescara,Abruzzo,,3387571262,,,,,,,,1/27/2025,
Cantina Gulfi,,,info@gulfi.it,gulfi.it/it,Contrada Patria,97012,Chiaramonte Gulfi,Ragusa,Sicilia,,0932921654,,,,,,,,12/6/2024,
Tenute dello Jato,Inviata Mail,,marketing@tenutedellojato.it,tenutedellojato.it,Contrada Percianotta Sp. 4 Km.4,90040,San Cipirello,Palermo,Sicilia,Giusi Zito,0916199000,,,,Ci hanno inviato mail,,,,,
Tenuta Pere Rosse,,,info@tenutapererosse.it,tenutapererosse.it/,Contrada Pere Rosse,70032,Bitonto,Bari,Puglia,,3496854637,,,,,,,,12/15/2024,
Marcelli Clara,FIVI,,info@claramarcelli.it,claramarcelli.it,"Contrada Pescolla, S.C.",63081,Castorano,Ascoli-Piceno,Marche,,3478628999,,,,,,,,12/4/2024,
Vini Paolucci,FIVI,,info@vinipaolucci.it,vinipaolucci.it,"Contrada Petrino, 1",66020,Paglieta,Chieti,Abruzzo,,3288350138,,,,si visite,,,,12/4/2024,
Vigna Di Pettineo,,,visite@vignadipettineo.com,ND,Contrada Pettineo,97019,Vittoria,Ragusa,Sicilia,,0932984311,,,,nel sito nn si entra,,,,1/18/2025,
Cantina Armosa,,,info@armosa.it.,armosa.it/,Contrada Pezza Fillippa,97018,Scicli,Ragusa,Sicilia,,29136858,,,,sito da rifare,si ma con modulo contatto,,,1/19/2025,
Cantina San Zenone,,,info@cantinasanzenone.it,cantinasanzenone.it,Contrada Piana Dei Pastini,86030,Montenero Di Bisaccia,Campobasso,Molise,,087596576,,,,,si,,,2/26/2025,
Cantine Novera,,Roberto,info@cantinenovera.it,cantinenovera.it/,Contrada Piana S.N.C.,83030,Taurasi,Avellino,Campania,Matteo Pasciuti,3927894024,,,,,,Nessun Feedback,,12/5/2024,
Cantine De Lisio Azienda Agricola Biologica,,,info@cantinedelisio.com,cantinedelisio.com,"Contrada Piano Della Conca, S.S. 647 (Bifernina)Km 73+200",86034,Guiglionesi,Campobasso,Molise,,0875910884,,,,,,,,1/16/2025,
Tenuta Marino,,,info@tenutamarino.it,tenutamarino.net,Contrada Piano Delle Rose,75027,San Giorgio Lucano,Potenza,Basilicata,,835815978,,,,hanno anche allevamento bovini e cavalli vino e olio,,,,12/15/2024,
Tenute D’Auria,,,daurias@gmail.com,tenutedauria.it,Contrada Piano Di Croce S.C.,85022,Barille,Potenza,Basilicata,,3480726617,,,,sito in costruzione,,,,12/15/2024,
Catalano Viticoltori,,,info@catalanoviticoltori.com,catalanoviticoltori.com/,Contrada Piano Mendola S.C. S.P. 81,93012,Gela,Caltanissetta,Sicilia,,3475560816,,,,si visite,si,,,1/19/2025,
De Angelis Corvi,FIVI,,info@deangeliscorvi.it,deangeliscorvi.it,Contrada Pignotto,64010,Controguerra,Teramo,Abruzzo,,86189475,,,,,,,,12/4/2024,
Monti,FIVI,,info@vinimonti.it,vinimonti.it,"Contrada Pignotto, 54",64010,Controguerra,Teramo,Abruzzo,,86189042,,,,,,,,12/4/2024,
Barone Valforte,,,info@baronedivalforte.it,baronedivalforte.it/,Contrada Piomba,64028,Silvi,Teramo,Abruzzo,,0859353432,,,,si visite prenotazione contatto diretto,,,,2/1/2025,
San Lorenzo Azienda Vitivinicola,,,info@sanlorenzovini.com,sanlorenzovini.com/,"Contrada Plavignano, 2",64035,Castilenti,Teramo,Abruzzo,,0861999325,01883430694,,,,,,,12/9/2024,
Torre Dei Beati,,,info@torredeibeati.it,torredeibeati.it,Contrada Poggioragone,65014,Poggioragone,Pescara,Abruzzo,,ND,,,,molto carine le etichette tanti premi anche olio,,,,12/4/2024,
Azienda Agricola Biologica Monti Cecubi ,,,info@masseriamonticecubi.it,masseriamonticecubi.it,"Contrada Porcignano, 20",04020,Itri,Latina,Lazio,,3284060470,,,,,,,,12/11/2024,
Tenuta Planisium,Paestum Wine Fest,,info@tenutaplanisium.it,tenutaplanisium.it,Contrada Pozzacchio,71030, Volturino,Foggia,Puglia,Manuela,0881510062,,,,,,,,12/8/2024,
Zaccagnini,,,info@cantinazaccagnini.it,cantinazaccagnini.it,Contrada Pozzo,65020,Bolognano,Pescara,Abruzzo,,0858880195,,,,,,,,,
Viticoltori De Concilis ,Paestum Wine Fest,,info@viticoltorideconciliis.it,viticoltorideconciliis.it,"Contrada Querce, 1",84060,Prignano Cilento,Salerno,Campania,Paola e Luigi Deconcilis,3283609371,,,,"contattare. conosciuti al paestum wine festival, vorremmo acquistare i prodotti.",,,,12/5/2024,
Olivastri Tommaso,FIVI,,info@viniolivastri.com,viniolivastri.com,"Contrada Quercia Del Corvo, 37",66038,San Vito Chietino,Chieti,Abruzzo,,087261543,,,,,,,,12/4/2024,
Morgante,,,info@morgantevini.it,morgantevini.it/,Contrada Racalmare,92020,Grotte,Agrigento,Sicilia,,0922945579,,,,,,,,12/6/2024,
Collemara Santori,FIVI,,cantinasantori@gmail.com,colemara.it,"Contrada Ripalta, 6",62015,Corridonia,Macerata,Marche,,3272366724,,,,,,,,12/4/2024,
Tenuta Liliana Terroir,,,info@tenutaliliana.com,tenutaliliana.com,Contrada Rischiazzi Villa Lilium,73052,Parabita,Lecce,Puglia,,3482430123,,,,,,,,12/15/2024,
Fattoria La Rivolta,,,info@fattorialarivolta.it,fattorialarivolta.it,Contrada Rivolta,82030,Torrecuso,Benevento,Campania,,081036254,,,,,,,,,
Filippo Zotti,Non ha una mail,Roberto,info@icollidelsannio.it,icollidelsannio.it,Contrada Rivolta 8,82030,Torrecuso,Benevento,Campania,Filippo Zotti,3888960429,,,,,,Nessun Feedback,,12/5/2024,
Tenute Pacelli ,,,info@tenutepacelli.it,tenutepacelli.it,Contrada Rose Snc,87010,Malvito,Cosenza,Calabria,Laura Pacelli,3451191140,,,,,,,,,
Masseria Borgo Dei Trulli ,,,info@masseriaborgodeitrulli.com,masseriaborgodeitrulli.com,Contrada Roselle Sn - Sp130,74020,Maruggio,Taranto,Puglia,,3461812119,,,,anche olio e gin,,,,12/14/2024,
Tenuta Di Fessina,,,hospitality@tenutadifessina.com,tenutadifessina.com/contatti/,"Contrada Rovittello - Via Nazionale Ss 120, 22",95012,Castiglione di Sicilia,Catania,Sicilia,,95670253,,,,,,,,12/17/2024,
Digiovanna Società Agricola S.R.L.(Vini Top - Li Abbiamo Lavorati Li Abbiamo Comprati Da Vignaioli Volanti),,,info@di-giovanna.com,di-giovanna.com,Contrada S. Giacomo,92017,Sambuca di Sicilia,Agrigento,Sicilia,,3298355523,,,,CONTATTARE. POSSIAMO DIRGLI CHE LO ACQUISTAVAMO TRAMITE VIGNAIOLI VOLANTI.,,,,1/16/2025,
Simone Capecci,,,info@simonecapecci.it,simonecapecci.it,"Contrada S. Maria In Carro, 13",63065,Ripatransone,Ascoli-Piceno,Marche,,3490945228,,,,si visite con modulo di prenotazione da sito,,,,12/6/2024,
Azienda Agricola Cortese,,,info@agricolacortese.com,agricolacortese.com/,"Contrada Sabuci, Sp3 Km 11",97019,Vittoria,Ragusa,Sicilia,,0932875615,,,,etichette belline per linea nostru fanno eventi in cantina BIO,,,,2/25/2025,
La Masseria Di Maria,,,info@lamasseriadimaria.it,lamasseriadimaria.it/,Contrada Sala,82030,Cautano,Benevento,Campania,,0824873620,,,,,,,,12/5/2024,
Cantine Antonio Caggiano,,,info@cantinecaggiano.it,cantinecaggiano.it,"Contrada Sala, 3",83030,Taurasi,Avellino,Campania,,082774723,,,,,,,,,
Azienda Agricola Ferreri,,,ferrerivini@gmail.com,ferrerivini.com,"Contrada Salinella, Snc",91029,Santa Ninfa,Trapani,Sicilia,,3332143255,,,,,,,,12/8/2024,
Ciavolich ,,,info@ciavolich.com,ciavolich.com,"Contrada Salmacina, 11",65014,Loreto Aprutino,Pescara,Abruzzo,,3914223837,01689710687,,,da elenco claudio - no email su sito inviato messaggio sul loro modulo on line,,,,12/11/2024,
Illuminati Vini,,,info@illuminativini.it,illuminativini.com/,"Contrada San Biagio, 18",64010,Controguerra,Teramo,Abruzzo,,0861808008,,,,,,,,1/27/2025,
Lidia E Amato,,,info@lidiaeamato.com,lidiaeamato.com/,"Contrada San Biagio, 2",64010,Controguerra,Teramo,Abruzzo,,861817041,,,,ok sono sia su stappando che su vineis,,,,9/12/2024,
Alte Vigne Della Val Camastra,,,info@altevignedellavalcamastra.com,altevignedellavalcamastra.com,Contrada San Donato S.C.,85010,Anzi,Potenza,Basilicata,,971962379,,,,,,,,12/15/2024,
Azienda Agricola Angelo Astone,Paestum Wine Fest,Alessandra,astoneangelo@gmail.com,aziendaagricolaastone.it,"Contrada San Felice - Via Defeselle, 19",84053,Cicerale,Salerno,Campania,Angelo Astone,3923700549,,,,!!! si e iscritto a vineis 30 luglio il b&b si chiama pantarei ha inviato i documenti firmati 28 agosto 3 settembre chiesto listino vini mandata proposta cambio merci richiamare per capire se ok inviato offerta piattaforma stappando,,Roberto,,12/5/2024,
Società Agricola Tenute Navarra S.R.L.,,Roberto,marketing@tenutenavarra.com,tenutenavarra.com,Contrada San Giacomo,93011,Butera,Caltanissetta,Sicilia,Ilaria Butera,3284452795,,,,Ci ha contattato diverse volte,,Nessun Feedback,,1/16/2025,
Tenute San Giaime,,,info@tenutasangiaime.it,tenutasangiaime.it/it/contatti/,Contrada San Giaime,90024,Gangi,palermo,Sicilia,Alessio,3495074624,,,,si visite anche hospitality vino e olio,,,,2/25/2025,
La Valle Del Sole,FIVI,,valledelsoleoffida@gmail.com,lavalledelsoleoffida.com,"Contrada San Lazzaro, 46",63073,Offida,Ascoli-Piceno,Marche,,3395225259,,,,ass.vignaioli indipendenti si visite,,,,12/4/2024,
Poderi San Lazzaro,FIVI,,info@poderisanlazzaro.it,poderisanlazzaro.it,"Contrada San Lazzaro, 88",63073,Offida,Ascoli-Piceno,Marche,,3358252640,,,,,,,,12/4/2024,
Cantina Marilina,,,info@cantinamarilina.com,cantinamarilina.com/,Contrada San Lorenzo S.C. – 96017 Noto (Sr),96017,Noto,Siracusa,Sicilia,,391 473 7844,,,,,,,,2/25/2025,
San Martino,FIVI,,sanmartinowine@gmail.com,sanmartinovini.it,Contrada San Martino,85023,Forenza,Potenza,Basilicata,,0972 31002,,,,,,,,12/6/2024,
San Michele A Ripa ,,,info@sanmichelearipa.com,sanmichelearipa.com/,"Contrada San Michele, 24",63065,Ripatransone,Ascoli-Piceno,Marche,,736246756,,,,si visite con prenotazione da modulo su sito,,,,12/6/2024,
Tenuta Gorghi Tondi ,,,info@gorghitondi.it,gorghitondi.it/,Contrada San Nicola,91026,Mazara del Vallo,Trapani,Sicilia,,923657364,,,,si visite,si,,,1/16/2025,
Montedidio,Paestum Wine Fest,,info@montedidio.it,montedidio.it/,"Contrada San Nicola, 15",83052,Paternopoli,Avellino,Campania,Mario Ercolino,3899484118,,,,,,,,12/5/2024,
Cantina Roveri,,,info@cantineroveri.it,cantineroveri.it/,Contrada San Pietro,66026,Ortona,Chieti,Abruzzo,,3474805458,,,,,,,,1/20/2025,
Pietro 17 ,,,pietro17winery@gmail.com,pietro17.com/,"Contrada San Pietro, 17",60039,Staffolo,Ancona,Marche,,3314638269,,,,vi visite hanno un club per i soci che hanno vantaggi su acquisto vino,,,,12/6/2024,
Feudo Antico,,,info@feudoantico.it,feudoantico.it/,"Contrada San Pietro, 25",66010,Tollo,Chieti,Abruzzo,,08719625253,,,,si experience,,,,1/20/2025,
Cossignani L.E. Tempo,FIVI,,info@letempo.it,letempo.it,"Contrada San Pietro, 5A",63061,Massignano,Ascoli-Piceno,Marche,Letizia Tempo,3392162832,,,,,,,,12/4/2024,
Vinicola Del Sannio,,,info@vinicoladelsannio.it,vinicoladelsannio.it,Contrada San Rocco S.S.87 Km 72+200 ,82037, Castelvenere,Benevento,Campania,,0824940488,,,,,,,,,
Azienda Agricola Bastianelli Francesco,FIVI,,info@cantinabastianelli.it,cantinabastianelli.it,Contrada San Rustico,63815,Monte San Pietrangeli,Fermo,Marche,,734960544,,,,,,,,12/18/2024,
Pettinella,FIVI,,giuliano.pettinella@libero.it,vinipettinella.com,"Contrada San Silvestro, 16",64028,Silvi,Teramo,Abruzzo,,3388279506,,,,,,,,12/4/2024,
Azienda Agricola San Vito Cantine Cifarelli ,,,info@cantinecifarelli.it,cantinecifarelli.it,Contrada San Vito,75024,Montescaglioso,Matera,Basilicata,,3338535349,,,,anche spirits molto belle le bottiglie,,,,12/15/2024,
Giancarlo Ceci,,,info@agrinatura.net,giancarloceci.com/,Contrada Sant'Agostino,76123,Andria,Barletta-Andria-Trani,Puglia,,0883565220,,,,si visite si shop on line anche olio conserve e passate,,,,2/5/2025,
Cantina Marramiero,,,martina.dimarzio@marramiero.it,marramiero.wine,"Contrada Sant’Andrea, 1",65020,Rosciano,Pescara,Abruzzo,,0858505766,,,,,,,,,
Podere Dell’Etna Segreta,,,info@poderedelletnasegreta.it,poderedelletnasegreta.it,Contrada Sant'Antonio-Torrette S.C.,95033,Biancavilla,Catania,Sicilia,,3666629927,,,,si visite nche hospitality e ristorante vino e olio,,,,1/16/2025,
Tenuta Masciangelo,,,info@tenutamasciangelo.com,tenutamasciangelo.com,"Contrada Sant’Elena, 10",66023,Francavilla al Mare,Chieti,Abruzzo,,3334875769,,,,si viste anche ristorante e resort,si,,,1/20/2025,
Azienda Agricola Andrea Felici Di Leopardo Felici,FIVI,,leo@andreafelici.it,andreafelici.it,"Contrada Sant'Isidoro, 28",62021,Apiro,Macerata,Marche,,3351338961,,,,,,,,12/18/2024,
Abbazia  Santa Anastasia Cantina,,,relais@abbaziasantanastasia.com,abbaziasantanastasia.com,"Contrada Santa Anastasia, S.C.",90013,Castelbuono,Palermo,Sicilia,,0921671959,,,,,,,,1/16/2025,
Hiso Telaray,,,info@hisotelaray.it,ND,Contrada Santa Barbara,72020,Torchiarolo,Brindisi,Puglia,,3929932651,,,,la email torna indietro,,,,2/5/2025,
Rocca Dei Sanniti Viticoltori,,,info@roccadeisannitiviticoltori.it,roccadeisannitiviticoltori.it,Contrada Santa Colomba - Località Casale Maccabei ,82100,Benevento,Benevento,Campania,,0824874880,,,,,,,,12/5/2024,
Santa Tresa,,,info@santatresa.it,santatresa.com,Contrada Santa Teresa,97019,Vittoria,Ragusa,Sicilia,,0932875615,,,,,si,,,1/19/2025,
Alessandra Azienda Agricola,Paestum Wine Fest,,alessandra.srl@libero.it,alessandrasrl.bdf.land,Contrada Santa Venere,84068,Pollica,Salerno,Campania,Giuseppe di Pace,3484501077,,,,no shop on line - vino e olio - agriturismo provare per vineis,,,,12/5/2024,
Az.Agricola Irene Badalà,,,irenebadala@gmail.com,irenebadala.it/,"Contrada Santo Spirito, Passopisciaro",95012,Castiglione di Sicilia,Catania,Sicilia,,3389988400,,,,no email mandato messaggio su sito,,,,3/4/2025,
Cantine Palmento Costanzo Vini Etna,,,info@palmentocostanzo.com,palmentocostanzo.com/,"Contrada Santo Spirito, Passopisciaro",95012,"Castiglione di Sicilia,",Catania,Sicilia,,094298323,,,,,,,,3/4/2025,
Cantine Iusi,FIVI,,santostefanoaziendaagricola@gmail.com,cantineiusi.it,Contrada Santo Stefano Localita Piano Di Fonte,87050,Lappano,Cosenza,Calabria,,3383940698,,,,,,,,12/6/2024,
Cantine De Cicco,,,info@cantinedecicco.it,cantinedecicco.it,"Contrada Scafa, 20",82100,Benevento,Benevento,Campania,,3291383984,,,,,,,,12/5/2024,
Funaro Vini,,,info@funaro.it,funaro.it/,"Contrada Scavi, Strada Statale. 188 Centro Occidentale Sicula Km 48,700",91029,Santa Ninfa TP,Trapani,Sicilia,,0916851589,,,,,,,,2/25/2025,
"Tenute Cerfeda, Masseria Schiavoni",,,info@tenutecerfeda.it,tenutecerfeda.it,Contrada Schiavoni Armirà,74024,Manduria,Taranto,Puglia,,342 8202231,,,,da elenco rob -vini bio del salento - certificati anche vegan,,,,12/14/2024,
Vignavolando Di Bernardo,,Claudio,jean@vignavolando.com,vignavolando.com,"Contrada Sciutico, 24",00162,San Vito Chietino,Chieti,Abruzzo,,3899652160,,,,,,,,,
